species,body_mass_g,flipper_length_mm
Adelie Penguin (Pygoscelis adeliae),3700,191
Gentoo penguin (Pygoscelis papua),4650,213
Gentoo penguin (Pygoscelis papua),5700,218
Adelie Penguin (Pygoscelis adeliae),3700,190
Chinstrap penguin (Pygoscelis antarctica),3450,190
Adelie Penguin (Pygoscelis adeliae),3950,180
Chinstrap penguin (Pygoscelis antarctica),3600,195
Chinstrap penguin (Pygoscelis antarctica),3800,200
Adelie Penguin (Pygoscelis adeliae),4475,199
Adelie Penguin (Pygoscelis adeliae),3700,180
Gentoo penguin (Pygoscelis papua),5850,230
Chinstrap penguin (Pygoscelis antarctica),3650,187
Gentoo penguin (Pygoscelis papua),5200,217
Gentoo penguin (Pygoscelis papua),5000,220
Adelie Penguin (Pygoscelis adeliae),3700,187
Gentoo penguin (Pygoscelis papua),4100,216
Gentoo penguin (Pygoscelis papua),5400,225
Adelie Penguin (Pygoscelis adeliae),4075,196
Gentoo penguin (Pygoscelis papua),5000,215
Gentoo penguin (Pygoscelis papua),4650,214
