study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0708,6,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N64A2,Yes,21/11/2007,45.2,17.8,198,3950,FEMALE,8.88942,-24.49433,NA
PAL0708,18,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,27/11/2007,49.2,15.2,221,6300,MALE,8.27376,-25.00169,NA
PAL0708,20,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A2,Yes,30/11/2007,49.2,18.2,195,4400,MALE,9.27158,-24.64335,NA
PAL0910,143,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,16/11/2009,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,NA
PAL0708,26,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A2,Yes,29/11/2007,46.1,15.1,215,5100,MALE,7.83733,-25.42826,NA
PAL0809,43,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N75A1,Yes,14/11/2008,50.9,19.1,196,3550,MALE,10.02372,-24.86594,NA
PAL0809,51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,06/11/2008,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989,NA
PAL0910,59,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N95A1,Yes,21/11/2009,50.2,18.8,202,3800,MALE,9.74492,-24.404,NA
PAL0708,24,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A2,Yes,27/11/2007,46.3,15.8,215,5050,MALE,7.90971,-25.38157,NA
PAL0708,28,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,12/11/2007,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448,NA
PAL0708,40,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,13/11/2007,39.8,19.1,184,4650,MALE,NA,NA,Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708,32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,09/11/2007,37.2,18.1,178,3900,MALE,9.72764,-25.0102,NA
PAL0910,52,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N90A2,Yes,21/11/2009,51.4,19,201,3950,MALE,9.43782,-24.36202,NA
PAL0708,50,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,13/11/2007,42.3,21.2,191,4150,MALE,8.87988,-25.18543,NA
PAL0708,23,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,No,28/11/2007,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185,Nest never observed with full clutch.
PAL0708,2,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,11/11/2007,39.5,17.4,186,3800,FEMALE,8.94956,-24.69454,NA
PAL0708,11,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,No,27/11/2007,40.9,13.7,214,4650,FEMALE,8.19579,-25.3933,Nest never observed with full clutch.
PAL0910,66,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N99A2,No,21/11/2009,49.6,18.2,193,3775,MALE,9.4618,-24.70615,Nest never observed with full clutch.
PAL0809,73,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,09/11/2008,48.2,15.6,221,5100,MALE,8.24651,-26.66958,NA
PAL0809,85,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,17/11/2008,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396,NA
