...1,Class,Order,Country.list,Region,system,biome,realm,year,abundance
1645,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1970,92
1655,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1970,99
4345,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1971,97
4351,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1971,120
6956,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1972,107
6963,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1972,132
9599,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1973,101
9606,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1973,138
12468,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1974,100
12476,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1974,131
15523,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1975,103
15531,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1975,132
16546,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1975,94
16698,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1975,32.76
18861,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1976,105
18867,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1976,121
19902,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1976,114
20097,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1976,32.76
22243,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1977,115
22250,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1977,133
23307,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1977,101
23520,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1977,30
25729,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1978,121
25735,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1978,128
26806,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1978,96
27038,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1978,23.55
30424,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1979,95
30666,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1979,24.45
34174,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1980,109
34452,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1980,38.31
38031,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1981,109
38277,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1981,47.55
41833,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1982,95
42074,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1982,45.69
42896,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1982,3
45721,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1983,96
45970,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1983,47.55
49863,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1984,89
50116,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1984,45.69
54172,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1985,95
54455,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1985,37.38
55560,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1985,3
58650,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1986,98
58936,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1986,37.38
60102,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1986,3
63439,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1987,109
63736,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1987,34.62
64893,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1987,5
68098,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1988,104
68426,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1988,49.38
69648,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1988,3
72906,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1989,103
73204,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1989,46.62
74549,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1989,4
78082,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1990,103
78141,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1990,61
78452,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1990,46.62
78766,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1990,157
79926,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1990,3
83324,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1991,104
83382,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1991,96
83696,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1991,43.86
84014,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1991,408
85208,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1991,3
88895,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1992,102
88953,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1992,52
