...1,Class,Order,Country.list,Region,system,biome,realm,year,abundance
586,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1970,4.02
587,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1970,4.02
1058,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,11.5
1059,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,11.5
1099,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,12.4
1100,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,12.4
1357,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1970,24.7
1358,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,24.8
1359,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,24.8
1376,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,26
1377,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,26
1400,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,28.4
1401,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,28.4
1472,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1970,39.3
1549,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1970,51.7
1550,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1970,51.7
1599,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1970,67.9
1600,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1970,67.9
2651,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1970,86.81
2652,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1970,86.81
3354,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1971,3.97
3355,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1971,3.97
3808,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,10.5
3809,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,10.5
3849,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,11.4
3850,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,11.4
4091,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1971,22.6
4092,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,18.9
4093,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,18.9
4107,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,19.5
4108,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,19.5
4130,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,26.3
4131,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,26.3
4192,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1971,31
4258,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1971,43.6
4259,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1971,43.6
4302,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1971,67.5
4303,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1971,67.5
5250,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1971,81.02
5251,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1971,81.02
5974,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1972,3.95
5975,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1972,3.95
6427,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,10.4
6428,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,10.4
6468,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,11.8
6469,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,11.8
6705,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1972,21.4
6706,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,16.9
6707,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,16.9
6722,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,19.5
6723,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,19.5
6745,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,28.1
6746,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,28.1
6806,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1972,30.6
6870,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1972,35.4
6871,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1972,35.4
6913,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1972,69
6914,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1972,69
7926,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1972,80.43
7927,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1972,80.43
8621,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1973,4.1
8622,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1973,4.1
9071,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,10.3
9072,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,10.3
9112,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,10.8
9113,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,10.8
9350,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1973,22.4
9351,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,13.4
9352,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,13.4
9367,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,18.2
9368,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,18.2
9389,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,28.1
9390,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,28.1
9448,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1973,28.4
9511,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1973,43.3
9512,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1973,43.3
9555,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1973,67.7
9556,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1973,67.7
10757,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1973,76.08
10758,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1973,76.08
11489,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1974,4.05
11490,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1974,4.05
11943,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,9.74
11944,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,9.74
11984,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,9.92
11985,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,9.92
12222,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1974,20
12223,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,15.8
12224,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,15.8
12237,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,18.3
12238,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,18.3
12260,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,25.9
12261,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,25.9
12319,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1974,27.9
12385,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1974,37.4
12386,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1974,37.4
12426,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1974,59.2
12427,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1974,59.2
13839,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1974,74.09
13840,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1974,74.09
14533,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1975,3.73
14534,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1975,3.73
14988,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,9.74
14989,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,9.74
15029,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,9.36
15030,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,9.36
15270,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1975,20.7
15271,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,13.2
15272,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,13.2
15288,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,17.4
15289,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,17.4
15311,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,26.6
15312,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,26.6
15373,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1975,26.7
15440,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1975,41.8
15441,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1975,41.8
15481,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1975,61
15482,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1975,61
16549,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1975,94
16550,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1975,94
17169,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1975,70.46
17170,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1975,70.46
17908,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1976,4.2
17909,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1976,4.2
18348,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,9.42
18349,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,9.42
18388,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,9.62
18389,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,9.62
